date,tesla
2014/07/03,-0.0763
2014/07/07,-2.8746
2014/07/08,-1.6123
2014/07/09,1.8213
2014/07/10,-1.6139
2014/07/11,-0.606
2014/07/14,3.9288
2014/07/15,-3.1407
2014/07/16,-1.1021
2014/07/17,-0.8105
2014/07/18,2.1449
2014/07/21,0.2363
2014/07/22,-0.4353
2014/07/23,1.3253
2014/07/24,0.4719
2014/07/25,0.0134
2014/07/28,0.5591
2014/07/29,0.0845
2014/07/30,1.7377
2014/07/31,-2.455
2014/08/01,4.4648
2014/08/04,2.2506
2014/08/05,-0.0126
2014/08/06,4.3776
2014/08/07,1.3899
2014/08/08,-1.6879
2014/08/11,4.5097
2014/08/12,0.2468
2014/08/13,0.1346
2014/08/14,0.411
2014/08/15,0.241
2014/08/18,-0.79
2014/08/19,-1.2234
2014/08/20,-0.4089
2014/08/21,-0.5358
2014/08/22,0.9593
2014/08/25,2.2471
2014/08/26,-0.3085
2014/08/27,0.5769
2014/08/28,0.2317
2014/08/29,2.2133
2014/09/02,5.3467
2014/09/03,-1.0313
2014/09/04,1.7248
2014/09/05,-3.0241
2014/09/08,1.7016
2014/09/09,-1.2867
2014/09/10,0.9408
2014/09/11,-0.281
2014/09/12,-0.396
2014/09/15,-9.0759
2014/09/16,2.7102
2014/09/17,0.2455
2014/09/18,0.9335
2014/09/19,-1.7057
2014/09/22,-3.5824
2014/09/23,0.152
2014/09/24,0.6909
2014/09/25,-2.0584
2014/09/26,-0.1417
2014/09/29,-0.5434
2014/09/30,-1.0519
2014/10/01,-1.0054
2014/10/02,4.6537
2014/10/03,1.5074
2014/10/06,2.1198
2014/10/07,-0.4029
2014/10/08,-0.1117
2014/10/09,-0.8755
2014/10/10,-7.8207
2014/10/13,-5.2003
2014/10/14,1.0998
2014/10/15,1.1627
2014/10/16,-1.4584
2014/10/17,0.4992
2014/10/20,1.3144
2014/10/21,2.1131
2014/10/22,-1.8016
2014/10/23,1.8131
2014/10/24,-0.0213
2014/10/27,-5.7686
2014/10/28,9.5187
2014/10/29,-1.9236
2014/10/30,0.2352
2014/10/31,1.2738
2014/11/03,0.3682
2014/11/04,-1.5087
2014/11/05,-3.3315
2014/11/06,4.4378
2014/11/07,-0.4229
2014/11/10,0.7202
2014/11/11,3.7821
2014/11/12,-0.7886
2014/11/13,1.0438
2014/11/14,2.7731
2014/11/17,-1.8169
2014/11/18,1.4647
2014/11/19,-3.865
2014/11/20,0.3915
2014/11/21,-2.3843
2014/11/24,1.6229
2014/11/25,0.5553
2014/11/26,0.1411
2014/11/28,-1.5778
2014/12/01,-5.2675
2014/12/02,-0.0907
2014/12/03,-0.9204
2014/12/04,-0.4448
2014/12/05,-2.0019
2014/12/08,-4.1795
2014/12/09,1.1803
2014/12/10,-3.2505
2014/12/11,-0.4575
2014/12/12,-0.9
2014/12/15,-1.43
2014/12/16,-3.0533
2014/12/17,4.0493
2014/12/18,6.0441
2014/12/19,0.4719
2014/12/22,1.5094
2014/12/23,-0.7323
2014/12/24,0.5838
2014/12/26,2.5016
2014/12/29,-0.9262
2014/12/30,-1.5418
2014/12/31,0.081
2015/01/02,-1.3938
2015/01/05,-4.2041
2015/01/06,0.5664
2015/01/07,-0.1562
2015/01/08,-0.1588
2015/01/09,-1.8778
2015/01/12,-2.1533
2015/01/13,1.0089
2015/01/14,-5.6597
2015/01/15,-0.4256
2015/01/16,0.6254
2015/01/20,-0.5905
2015/01/21,2.4175
2015/01/22,2.5691
2015/01/23,-0.1637
2015/01/26,2.6131
2015/01/27,-0.276
2015/01/28,-3.209
2015/01/29,2.9242
2015/01/30,-0.7797
2015/02/02,3.6051
2015/02/03,3.5176
2015/02/04,0.087
2015/02/05,1.1164
2015/02/06,-1.6426
2015/02/09,0.0552
2015/02/10,-0.5472
2015/02/11,-1.6136
2015/02/12,-4.6617
2015/02/13,0.4387
2015/02/17,0.2846
2015/02/18,0.0538
2015/02/19,3.5435
2015/02/20,2.5531
2015/02/23,-4.5023
2015/02/24,-1.5555
2015/02/25,-0.1715
2015/02/26,1.6834
2015/02/27,-1.8582
2015/03/02,-2.9581
2015/03/03,1.1326
2015/03/04,1.4407
2015/03/05,-0.8916
2015/03/06,-3.3644
2015/03/09,-1.5473
2015/03/10,-0.2934
2015/03/11,1.797
2015/03/12,-1.3781
2015/03/13,-1.2509
2015/03/16,3.7206
2015/03/17,-0.4957
2015/03/18,3.0709
2015/03/19,-2.5211
2015/03/20,1.242
2015/03/23,0.7825
2015/03/24,1.0469
2015/03/25,-3.6784
2015/03/26,-2.0046
2015/03/27,-2.8387
2015/03/30,3.0108
2015/03/31,-0.9445
2015/04/01,-0.6251
2015/04/02,1.8178
2015/04/06,6.3351
2015/04/07,0.0739
2015/04/08,2.1747
2015/04/09,1.1653
2015/04/10,0.3855
2015/04/13,-0.5311
2015/04/14,-1.1059
2015/04/15,0.1783
2015/04/16,-0.5437
2015/04/17,0.0435
2015/04/20,-0.735
2015/04/21,2.0169
2015/04/22,4.7896
2015/04/23,-0.3828
2015/04/24,-0.0801
2015/04/27,6.0089
2015/04/28,-0.4621
2015/04/29,0.8547
2015/04/30,-2.7533
2015/05/01,-0.0088
2015/05/04,1.982
2015/05/05,1.0585
2015/05/06,-1.0818
2015/05/07,2.7644
2015/05/08,-0.0802
2015/05/11,1.2172
2015/05/12,2.1922
2015/05/13,-0.6374
2015/05/14,0.3783
2015/05/15,1.9418
2015/05/18,-0.0362
2015/05/19,-0.6472
2015/05/20,-1.1289
2015/05/21,0.5197
2015/05/22,0.8591
2015/05/26,-0.111
2015/05/27,-0.0101
2015/05/28,1.6247
2015/05/29,-0.2585
2015/06/01,-0.5383
2015/06/02,-0.441
2015/06/03,0.2577
2015/06/04,-1.233
2015/06/05,1.3094
2015/06/08,2.8699
2015/06/09,-0.1132
2015/06/10,-2.0703
2015/06/11,0.2832
2015/06/12,-0.2864
2015/06/15,-0.1237
2015/06/16,1.0943
2015/06/17,2.8801
2015/06/18,0.5683
2015/06/19,0.2367
2015/06/22,-1.0362
2015/06/23,3.0332
2015/06/24,-0.934
2015/06/25,1.3652
2015/06/26,-0.6325
2015/06/29,-1.8982
2015/06/30,2.3815
2015/07/01,0.3318
2015/07/02,4.0386
2015/07/06,-0.1071
2015/07/07,-4.2328
